Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-06-01,19,1.89,12,Spring,No
2019-06-01,20,2.75,11,Spring,No
2019-06-01,21,2.61,12,Spring,No
2019-06-01,22,3.63,11,Spring,No
2019-06-01,23,3.07,14,Spring,No
2019-06-02,00,1.84,14,Spring,No
2019-06-02,01,0.45,14,Spring,No
2019-06-02,02,0.38,13,Spring,No
2019-06-02,03,0.47,11,Spring,No
2019-06-02,04,0.67,10,Spring,No
2019-06-02,05,0.42,10,Spring,No
2019-06-02,06,0.48,10,Spring,No
2019-06-02,07,0.4,10,Spring,No
2019-06-02,08,0.93,10,Spring,No
2019-06-02,09,3.5,11,Spring,No
2019-06-02,10,1.72,11,Spring,No
2019-06-02,11,1.81,11,Spring,No
2019-06-02,12,4.44,11,Spring,No
2019-06-02,13,2.97,11,Spring,No
2019-06-02,14,5.49,11,Spring,No
2019-06-02,15,5.52,11,Spring,No
2019-06-02,16,3.1,11,Spring,No
2019-06-02,17,4.66,11,Spring,No
2019-06-02,18,3.94,11,Spring,No
2019-06-02,19,2.35,11,Spring,No
2019-06-02,20,1.04,11,Spring,No
2019-06-02,21,1.53,12,Spring,No
2019-06-02,22,1.6,11,Spring,No
2019-06-02,23,1.42,11,Spring,No
2019-06-03,00,0.45,11,Spring,No
2019-06-03,01,0.67,11,Spring,No
2019-06-03,02,0.48,10,Spring,No
2019-06-03,03,0.39,10,Spring,No
2019-06-03,04,0.45,10,Spring,No
2019-06-03,05,0.72,10,Spring,No
2019-06-03,06,2.56,11,Spring,No
2019-06-03,07,0.94,12,Spring,No
2019-06-03,08,0.74,13,Spring,No
2019-06-03,09,0.48,14,Spring,No
2019-06-03,10,0.45,14,Spring,No
2019-06-03,11,0.78,11,Spring,No
2019-06-03,12,0.45,12,Spring,No
2019-06-03,13,0.46,15,Spring,No
2019-06-03,14,1.28,15,Spring,No
2019-06-03,15,0.92,14,Spring,No
2019-06-03,16,1.64,12,Spring,No
2019-06-03,17,2.9,11,Spring,No
2019-06-03,18,0.7,10,Spring,No
2019-06-03,19,0.9,9,Spring,No
2019-06-03,20,2.7,9,Spring,No
2019-06-03,21,2.31,8,Spring,No
2019-06-03,22,1.07,8,Spring,No
2019-06-03,23,0.78,7,Spring,No
2019-06-04,00,0.44,6,Spring,No
2019-06-04,01,0.78,6,Spring,No
2019-06-04,02,0.5,6,Spring,No
2019-06-04,03,0.41,5,Spring,No
2019-06-04,04,0.42,6,Spring,No
2019-06-04,05,0.86,8,Spring,No
2019-06-04,06,3.06,9,Spring,No
2019-06-04,07,2.52,11,Spring,No
2019-06-04,08,0.86,11,Spring,No
2019-06-04,09,0.96,12,Spring,No
2019-06-04,10,0.68,12,Spring,No
2019-06-04,11,1.12,12,Spring,No
2019-06-04,12,0.96,14,Spring,No
2019-06-04,13,1.87,14,Spring,No
2019-06-04,14,2.21,14,Spring,No
2019-06-04,15,0.89,13,Spring,No
2019-06-04,16,1.97,13,Spring,No
2019-06-04,17,1.43,12,Spring,No
